Item,Fixation,Con Target Region,Incon Target Region
7,Lower,Lower,Middle
7,Lower,Lower,Middle
17,Middle,Lower,Upper
17,Middle,Lower,Upper
17,Lower,Lower,Upper
117,Middle,Upper,Lower
117,Upper,Upper,Lower
77,Upper,Middle,Middle
77,Middle,Middle,Middle
97,Middle,Upper,Lower
97,Middle,Upper,Lower
97,Upper,Upper,Lower
97,Upper,Upper,Lower
97,Upper,Upper,Lower
27,Middle,Lower,Upper
27,Middle,Lower,Upper
27,Upper,Lower,Upper
27,Middle,Lower,Upper
27,Middle,Lower,Upper
27,Middle,Lower,Upper
27,Lower,Lower,Upper
27,Lower,Lower,Upper
27,Middle,Lower,Upper
27,Middle,Lower,Upper
27,Lower,Lower,Upper
27,Lower,Lower,Upper
27,Lower,Lower,Upper
27,Upper,Lower,Upper
27,Upper,Lower,Upper
27,Middle,Lower,Upper
27,Upper,Lower,Upper
27,Upper,Lower,Upper
27,Middle,Lower,Upper
27,Middle,Lower,Upper
27,Middle,Lower,Upper
27,Middle,Lower,Upper
27,Middle,Lower,Upper
27,Lower,Lower,Upper
27,Middle,Lower,Upper
27,Middle,Lower,Upper
27,Middle,Lower,Upper
47,Middle,Middle,Lower
47,Middle,Middle,Lower
47,Upper,Middle,Lower
47,Upper,Middle,Lower
47,Lower,Middle,Lower
47,Lower,Middle,Lower
47,Lower,Middle,Lower
47,Upper,Middle,Lower
47,Upper,Middle,Lower
47,Upper,Middle,Lower
47,Middle,Middle,Lower
67,Middle,Middle,Lower
67,Middle,Middle,Lower
67,Middle,Middle,Lower
67,Middle,Middle,Lower
67,Upper,Middle,Lower
67,Middle,Middle,Lower
67,Middle,Middle,Lower
67,Middle,Middle,Lower
37,Middle,Lower,Upper
37,Lower,Lower,Upper
58,Middle,Lower,Upper
58,Lower,Lower,Upper
58,Middle,Lower,Upper
58,Middle,Lower,Upper
58,Lower,Lower,Upper
78,Upper,Middle,Lower
78,Middle,Middle,Lower
78,Middle,Middle,Lower
78,Middle,Middle,Lower
108,Middle,Upper,Lower
108,Upper,Upper,Lower
38,Middle,Lower,Middle
38,Lower,Lower,Middle
38,Lower,Lower,Middle
38,Middle,Lower,Middle
118,Middle,Upper,Lower
118,Upper,Upper,Lower
118,Upper,Upper,Lower
68,Middle,Middle,Lower
68,Middle,Middle,Lower
68,Middle,Middle,Lower
68,Middle,Middle,Lower
68,Middle,Middle,Lower
68,Middle,Middle,Lower
68,Middle,Middle,Lower
98,Middle,Upper,Lower
98,Middle,Upper,Lower
98,Upper,Upper,Lower
98,Upper,Upper,Lower
98,Upper,Upper,Lower
28,Middle,Lower,Upper
28,Lower,Lower,Upper
28,Lower,Lower,Upper
88,Middle,Upper,Middle
88,Middle,Upper,Middle
88,Middle,Upper,Middle
88,Middle,Upper,Middle
88,Upper,Upper,Middle
88,Upper,Upper,Middle
8,Middle,Middle,Upper
8,Middle,Middle,Upper
8,Middle,Middle,Upper
48,Middle,Middle,Middle
48,Middle,Middle,Middle
48,Upper,Middle,Middle
48,Middle,Middle,Middle
18,Middle,Lower,Middle
18,Middle,Lower,Middle
18,Lower,Lower,Middle
18,Middle,Lower,Middle
119,Upper,Upper,Lower
119,Upper,Upper,Lower
119,Upper,Upper,Lower
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Upper,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Lower,Upper,Upper
99,Lower,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Lower,Upper,Upper
99,Lower,Upper,Upper
99,Lower,Upper,Upper
99,Lower,Upper,Upper
99,Middle,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Middle,Upper,Upper
99,Middle,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Upper,Upper,Upper
99,Middle,Upper,Upper
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Lower,Lower,Middle
9,Lower,Lower,Middle
9,Lower,Lower,Middle
9,Lower,Lower,Middle
9,Lower,Lower,Middle
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Lower,Lower,Middle
9,Lower,Lower,Middle
9,Lower,Lower,Middle
9,Lower,Lower,Middle
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Middle,Lower,Middle
9,Lower,Lower,Middle
9,Middle,Lower,Middle
9,Lower,Lower,Middle
79,Middle,Middle,Lower
79,Lower,Middle,Lower
79,Middle,Middle,Lower
79,Middle,Middle,Lower
79,Middle,Middle,Lower
79,Middle,Middle,Lower
79,Middle,Middle,Lower
79,Middle,Middle,Lower
19,Middle,Lower,Middle
19,Middle,Lower,Middle
19,Middle,Lower,Middle
19,Middle,Lower,Middle
19,Middle,Lower,Middle
19,Middle,Lower,Middle
19,Lower,Lower,Middle
19,Middle,Lower,Middle
