Cond,Item,Con_X1,Con_Y1,Con_X2,Con_Y2,Incon_X1,Incon_Y1,Incon_X2,InconY2
4,24,8,459,118,522,435,136,539,193
4,25,412,578,648,599,313,148,327,395
4,26,105,457,182,599,0,92,70,228
4,27,727,369,799,494,1,0,78,120
4,28,134,432,185,521,524,106,570,182
4,29,15,457,68,522,747,127,799,190
4,30,468,498,537,533,545,86,613,124
4,31,610,562,799,599,58,66,100,229
4,32,577,549,617,578,401,131,431,162
4,33,486,512,569,543,75,11,158,42
4,34,606,486,698,514,98,432,192,463
4,35,615,499,799,599,57,190,144,291
4,36,241,462,286,508,203,338,250,386
4,37,504,579,799,599,654,111,799,175
4,38,190,443,266,488,632,193,697,242
4,39,666,374,799,508,391,0,533,85
4,40,434,573,529,590,168,442,234,464
4,41,29,308,70,392,567,150,611,221
4,42,635,225,701,324,636,0,694,83
4,43,1,170,107,402,695,372,799,599
4,44,481,330,559,378,336,93,396,136
4,45,207,255,264,362,731,11,799,123
4,46,657,270,703,344,63,503,109,578
4,47,12,257,95,355,1,445,57,556
4,48,780,252,799,445,692,203,714,367
4,49,266,337,317,456,37,466,87,584
4,50,223,361,248,393,360,99,384,129
4,51,648,334,682,354,697,495,734,515
4,52,144,267,195,356,608,41,650,131
4,53,104,316,205,345,577,227,680,253
4,54,602,290,707,336,172,424,227,469
4,55,737,286,786,368,560,52,602,132
4,56,144,314,234,405,82,146,159,239
4,57,9,260,39,376,312,416,344,535
4,58,339,405,361,514,353,57,367,157
4,59,183,335,206,379,345,558,371,598
4,60,629,316,731,440,190,485,293,599
4,61,75,369,141,427,293,543,359,599
4,62,527,329,581,366,570,527,626,565
4,63,381,272,430,314,311,132,360,174
4,64,57,296,133,363,30,100,107,144
4,65,105,334,164,397,613,123,663,187
4,66,43,298,184,369,575,535,714,599
4,67,129,232,217,283,711,407,777,458
4,68,305,246,324,302,565,437,584,495
4,69,139,299,196,337,338,47,393,86
4,70,0,242,51,388,748,463,799,599
4,71,631,282,657,336,658,506,683,562
4,72,226,250,255,325,431,74,461,148
4,73,204,245,247,335,83,48,126,133
4,74,693,272,768,324,584,544,658,598
4,75,469,254,542,339,693,152,771,243
4,76,154,253,223,332,714,470,783,549
4,77,671,230,751,424,0,337,70,533
4,78,166,322,224,385,629,499,688,562
4,79,104,280,158,306,391,501,446,527
4,80,729,302,792,331,19,53,82,84
4,81,669,155,729,314,54,95,115,249
4,82,282,0,482,76,1,198,76,399
4,83,87,126,148,154,38,360,108,399
4,84,741,111,791,164,229,368,278,421
4,85,578,72,649,198,643,324,772,392
4,86,446,148,588,271,684,303,799,427
4,87,132,0,215,101,520,318,582,452
4,88,611,96,724,191,699,398,799,510
4,89,74,76,151,149,457,300,537,346
4,90,294,83,338,133,732,416,799,525
4,91,77,73,106,154,74,328,153,356
4,92,131,72,190,136,99,509,175,547
4,93,704,164,799,262,0,514,71,599
4,94,701,19,753,169,753,318,799,467
4,95,26,38,270,181,600,305,799,432
4,96,702,0,799,57,544,396,603,516
4,97,468,2,551,155,689,391,772,546
4,98,6,0,136,89,700,483,795,599
4,99,657,1,732,94,127,194,206,245
4,100,219,146,249,218,706,364,739,434
4,101,62,124,117,192,204,305,255,357
4,102,486,121,535,173,575,369,619,422
4,103,18,96,107,170,716,410,799,485
4,104,612,5,644,89,97,246,127,333
4,105,0,1,73,200,394,451,568,553
